ID	Length	Adenine	Cytosine	Guanine	Thymine	N	GCcontent	Errors
41|*|c37671_g3_i1	8825	19.9206798866856	29.4504249291785	28.0793201133144	22.5495750708215	0	57.5297450424929	0
42|*|c37483_g1_i4	8812	18.2932364956877	32.103949160236	30.4925102133454	19.1103041307308	0	62.5964593735815	0
43|*|c37613_g2_i1	8726	19.3101077240431	32.0307128122851	30.3575521430209	18.3016273206509	0	62.388264955306	0
44|*|c37659_g4_i8	8658	16.7128667128667	30.1339801339801	33.4603834603835	19.6927696927697	0	63.5943635943636	0
45|*|c37127_g2_i2	8567	17.3923193650053	29.4385432473445	31.0493755106805	22.1197618769698	0	60.487918758025	0
46|*|c37549_g1_i4	8544	17.7083333333333	30.4541198501873	31.8352059925094	20.00234082397	0	62.2893258426966	0
47|*|c37637_g3_i1	8540	17.5058548009368	32.3067915690866	32.3419203747073	17.8454332552693	0	64.6487119437939	0
48|*|c37534_g3_i1	8539	19.1357301791779	32.1583323574189	29.8981145333177	18.8078229300855	0	62.0564468907366	0
49|*|c37646_g1_i2	8441	16.7634166567942	33.0766496860562	32.2355171188248	17.9244165383248	0	65.3121668048809	0
50|*|c36907_g1_i2	8398	19.0878780662062	31.1264586806382	30.6263396046678	19.1593236484877	0	61.752798285306	0
51|*|c37602_g2_i1	8394	17.9890397903264	30.6409340004765	29.1398618060519	22.2301644031451	0	59.7807958065285	0
52|*|c37578_g4_i3	8202	20.2145818093148	31.6508168739332	29.4684223360156	18.6661789807364	0	61.1192392099488	0
53|*|c37249_g1_i1	8198	18.3337399365699	29.5681873627714	32.3127592095633	19.7853134910954	0	61.8809465723347	0
54|*|c37592_g2_i5	8193	19.0040278286342	31.2950079336019	31.8564628341267	17.8445014036372	0	63.1514707677285	0
55|*|c37323_g1_i1	8171	18.7247582915188	29.7026067800759	30.0452820952148	21.5273528331906	0	59.7478888752907	0
56|*|c37511_g2_i3	8159	17.6369653143768	31.0577276627038	29.3418311067533	21.9634759161662	0	60.399558769457	0
57|*|c37356_g1_i1	8136	17.9080629301868	26.6347099311701	30.9365781710914	24.5206489675516	0	57.5712881022616	0
58|*|c37629_g1_i5	8096	17.3048418972332	31.3611660079051	33.695652173913	17.6383399209486	0	65.0568181818182	0
59|*|c37511_g2_i4	8023	17.6243300511031	30.8737380032407	29.4403589679671	22.0615729776891	0	60.3140969712078	0
60|*|c37522_g2_i1	8011	23.5551117213831	27.5371364373986	27.2625140431906	21.6452377980277	0	54.7996504805892	0
61|*|c37548_g2_i1	7965	17.2002510985562	28.2485875706215	32.2033898305085	22.3477715003139	0	60.4519774011299	0
62|*|c37614_g3_i4	7964	15.9216474133601	29.9849321948769	32.9984932194877	21.0949271722752	0	62.9834254143646	0
63|*|c37611_g2_i3	7847	17.6628010704728	31.935771632471	32.0122339747674	18.3891933222888	0	63.9480056072384	0
64|*|c37647_g3_i6	7828	18.625447112928	30.5314256515074	31.6555952989269	19.1875319366377	0	62.1870209504343	0
65|*|c37670_g1_i5	7825	18.6964856230032	28.9840255591054	30.5686900958466	21.7507987220447	0	59.5527156549521	0
66|*|c37616_g2_i2	7771	22.2107836829237	28.9151975292755	30.1762964869386	18.6977223008622	0	59.0914940162141	0
67|*|c37587_g1_i5	7660	20.7310704960836	33.7075718015666	29.6736292428198	15.88772845953	0	63.3812010443864	0
68|*|c37635_g2_i2	7627	23.4299200209781	27.2059787596696	24.0592631440934	25.3048380752589	0	51.2652419037629	0
69|*|c37551_g2_i3	7574	19.7385793504093	31.2516503828888	30.0765777660417	18.9331925006602	0	61.3282281489305	0
70|*|c37672_g2_i6	7562	18.6590848981751	32.0417878868024	32.1079079608569	17.1912192541656	0	64.1496958476593	0
71|*|c37660_g6_i5	7557	18.3141458250629	31.0440651052005	32.1291517798068	18.5126372899299	0	63.1732168850073	0
72|*|c37574_g1_i2	7514	19.0311418685121	30.6228373702422	32.2331647591163	18.1128560021294	0	62.8560021293585	0
73|*|c37609_g1_i2	7454	17.7086128253287	29.6753420982023	32.479205795546	20.136839280923	0	62.1545478937483	0
74|*|c37622_g1_i4	7417	18.6598355130107	31.2525279762707	31.0098422542807	19.0777942564379	0	62.2623702305514	0
75|*|c37649_g1_i1	7378	18.9075630252101	28.5849823800488	32.8273244781784	19.6801301165628	0	61.4123068582272	0
76|*|c37214_g1_i1	7365	18.9680923285811	30.7671418873048	29.857433808554	20.4073319755601	0	60.6245756958588	0
77|*|c37544_g1_i2	7295	17.6559287183002	30.9527073337903	32.4194653872515	18.971898560658	0	63.3721727210418	0
78|*|c37586_g1_i3	7278	20.9947787853806	29.6097829073921	30.3380049464139	19.0574333608134	0	59.947787853806	0
79|*|c37450_g1_i5	7260	19.3250688705234	33.1404958677686	30.0413223140496	17.4931129476584	0	63.1818181818182	0
80|*|c37259_g3_i2	7258	20.3912923670433	29.7602645356848	30.2011573436208	19.6472857536511	0	59.9614218793056	0
81|*|c37380_g1_i3	7217	22.0590272966607	28.0587501732022	27.1719551059997	22.7102674241375	0	55.2307052792019	0
82|*|c37611_g3_i1	7192	17.5750834260289	29.2547274749722	34.051724137931	19.1184649610679	0	63.3064516129032	0
83|*|c37546_g1_i1	7083	15.8548637582945	29.5213892418467	34.3216151348299	20.3021318650289	0	63.8430043766765	0
84|*|c37635_g2_i6	7049	22.9961696694567	25.8476379628316	24.0459639665201	27.1102284011917	0	49.8936019293517	0
85|*|c36476_g1_i1	7034	24.5521751492749	26.7273244242252	22.5049758316747	26.2155245948251	0	49.2323002558999	0
86|*|c37576_g5_i4	7027	18.7989184573787	30.268962572933	29.8989611498506	21.0331578198378	0	60.1679237227835	0
87|*|c37564_g2_i1	7011	26.0019968620739	27.0860077021823	23.7056054771074	23.2063899586364	0	50.7916131792897	0
88|*|c37634_g1_i3	7010	17.3181169757489	29.9144079885877	34.0656205420827	18.7018544935806	0	63.9800285306705	0
89|*|c37660_g6_i3	7003	18.8490646865629	30.8010852491789	31.8006568613451	18.549193202913	0	62.6017421105241	0
90|*|c37513_g1_i1	6985	18.2534001431639	31.8682891911238	30.5511811023622	19.32712956335	0	62.419470293486	0
91|*|c37651_g1_i8	6940	17.6224783861671	30.5187319884726	31.2536023054755	20.6051873198847	0	61.7723342939481	0
92|*|c37522_g3_i1	6940	20.7636887608069	27.9971181556196	28.9625360230548	22.2766570605187	0	56.9596541786744	0
93|*|c37522_g1_i2	6925	20.3465703971119	29.7761732851986	31.2346570397112	18.6425992779783	0	61.0108303249097	0
94|*|c37604_g3_i2	6925	19.4512635379061	31.7833935018051	31.1624548736462	17.6028880866426	0	62.9458483754513	0
95|*|c37464_g1_i1	6883	16.2283887839605	28.9699259044021	33.5464187127706	21.2552665988668	0	62.5163446171727	0
96|*|c37631_g4_i5	6861	19.3703541757761	30.243404751494	30.155953942574	20.230287130156	0	60.3993586940679	0
97|*|c37535_g3_i5	6814	18.1097739947168	29.3513354857646	32.8881714117992	19.6507191077194	0	62.2395068975638	0
98|*|c37635_g2_i4	6759	24.2787394584998	26.749519159639	23.8644769936381	25.1072643882231	0	50.6139961532771	0
99|*|c37481_g1_i1	6740	14.4658753709199	30.919881305638	33.9169139465875	20.6973293768546	0	64.8367952522255	0
100|*|c37599_g3_i3	6732	18.1966726084373	30.6595365418895	31.9370172311349	19.2067736185383	0	62.5965537730244	0
101|*|c37482_g4_i2	6707	18.8310720143134	34.5609065155807	30.401073505293	16.2069479648129	0	64.9619800208737	0
102|*|c37517_g2_i1	6691	16.8883574951427	30.9071887610223	31.7740248094455	20.4304289343895	0	62.6812135704678	0
103|*|c37615_g7_i6	6673	19.5114641090964	32.5940356661172	30.795744043159	17.0987561816275	0	63.3897797092762	0
104|*|c37606_g1_i2	6663	17.8147981389764	29.7163439891941	34.0237130421732	18.4451448296563	0	63.7400570313673	0
105|*|c37433_g1_i4	6633	20.171867933062	28.9763304688678	29.5341474445952	21.3176541534751	0	58.510477913463	0
106|*|c37420_g2_i3	6614	19.1260961596613	30.8285455095253	30.7378288478984	19.307529482915	0	61.5663743574236	0
107|*|c37487_g1_i2	6595	17.5132676269901	32.2971948445792	32.8582259287339	17.3313115996967	0	65.1554207733131	0
108|*|c37511_g2_i1	6540	17.6605504587156	30.8103975535168	29.2966360856269	22.2324159021407	0	60.1070336391437	0
109|*|c37562_g1_i2	6526	20.60986821943	30.9531106343855	33.8951884768618	14.5418326693227	0	64.8482991112473	0
110|*|c37570_g13_i2	6522	19.5952161913523	31.6314014106102	30.6501073290402	18.1232750689972	0	62.2815087396504	0
111|*|c37571_g1_i3	6513	24.136342699217	27.2378320282512	25.1189927836634	23.5068324888684	0	52.3568248119146	0
112|*|c37570_g13_i4	6447	19.590507212657	31.2083139444703	30.2776485186909	18.9235303241818	0	61.4859624631612	0
113|*|c10447_g1_i1	6442	27.3207078547035	25.8304874262651	21.3443030114871	25.5045017075442	0	47.1747904377523	0
114|*|c37645_g1_i2	6406	18.701217608492	31.7358726194193	30.6743677802061	18.8885419918826	0	62.4102403996254	0
115|*|c37508_g1_i1	6403	16.804622833047	28.7365297516789	35.046072153678	19.4127752615961	0	63.7826019053569	0
116|*|c36544_g1_i1	6403	21.6461033890364	23.4265188193035	26.4251132281743	28.5022645634859	0	49.8516320474777	0
117|*|c37563_g4_i12	6382	21.6233155750548	33.954873080539	27.7969288624256	16.6248824819806	0	61.7518019429646	0
118|*|c37561_g1_i4	6355	17.309205350118	33.0920535011802	31.7702596380803	17.8284815106216	0	64.8623131392604	0
119|*|c37578_g6_i2	6354	23.5127478753541	29.5876613157066	26.4872521246459	20.4123386842934	0	56.0749134403525	0
120|*|c37470_g1_i1	6332	17.1983575489577	29.7062539481996	31.1749842072015	21.9204042956412	0	60.8812381554011	0
121|*|c37600_g3_i2	6324	21.3630613535737	30.4712207463631	29.1903858317521	18.9753320683112	0	59.6616065781151	0
122|*|c37620_g3_i2	6307	19.6924052639924	32.7096876486444	29.332487712066	18.2654193752973	0	62.0421753607103	0
123|*|c37122_g1_i3	6227	18.5000802954874	30.7692307692308	30.9619399389754	19.7687489963064	0	61.7311707082062	0
124|*|c37635_g2_i7	6211	21.5746256641443	28.5783287715344	27.5800998228949	22.2669457414265	0	56.1584285944292	0
125|*|c37678_g1_i3	6176	18.2804404145078	29.5336787564767	31.800518134715	20.3853626943005	0	61.3341968911917	0
126|*|c37588_g1_i1	6131	17.2402544446257	30.6801500570869	32.6863480671995	19.3932474310879	0	63.3664981242864	0
127|*|c37568_g1_i4	6122	17.9189807252532	32.5057170859196	31.5256452139824	18.0496569748448	0	64.031362299902	0
